time, humidity, ambient_temp, m8_temp, m5_temp, dew point
2022-05-01_13-35-09, 45.700000, 25.000000, 16.750000, 16.810000, 12.479590
2022-05-01_13-35-13, 45.700000, 25.000000, 16.690000, 16.750000, 12.479590
2022-05-01_13-35-17, 45.700000, 25.000000, 16.620000, 16.620000, 12.479590
2022-05-01_13-35-21, 45.700000, 25.000000, 16.500000, 16.560000, 12.479590
2022-05-01_13-35-25, 45.700000, 25.000000, 16.440000, 16.500000, 12.479590
2022-05-01_13-35-29, 45.700000, 25.000000, 16.310000, 16.370000, 12.479590
2022-05-01_13-35-33, 45.700000, 25.000000, 16.250000, 16.310000, 12.479590
2022-05-01_13-35-38, 45.700000, 25.000000, 16.190000, 16.190000, 12.479590
2022-05-01_13-35-42, 45.700000, 25.000000, 16.000000, 16.120000, 12.479590
2022-05-01_13-35-46, 45.700000, 25.000000, 15.940000, 16.000000, 12.479590
2022-05-01_13-35-50, 45.600000, 25.000000, 15.810000, 15.880000, 12.446205
2022-05-01_13-35-54, 45.600000, 25.000000, 15.750000, 15.810000, 12.446205
2022-05-01_13-35-58, 45.700000, 25.000000, 15.630000, 15.750000, 12.479590
2022-05-01_13-36-02, 45.600000, 24.900000, 15.560000, 15.630000, 12.355351
2022-05-01_13-36-06, 45.700000, 25.000000, 15.440000, 15.500000, 12.479590
2022-05-01_13-36-10, 45.700000, 25.000000, 15.380000, 15.440000, 12.479590
2022-05-01_13-36-15, 45.700000, 25.000000, 15.310000, 15.380000, 12.479590
